"","id","sex","edad","origen","timerun","categoria","nacionalidad"
"776",776,"Hombre",51,"CALI",3638,"4. Veteranos B","COL"
"777",777,"Mujer",38,"CALI",3638,"2. Abierta","COL"
"778",778,"Mujer",34,"CALI",3640,"2. Abierta","COL"
"779",779,"Hombre",68,"POPAYAN",3643,"5. Veteranos C","COL"
"780",780,"Hombre",44,"CALI",3644,"3. Veteranos A","COL"
"781",781,"Hombre",33,"CALI",3644,"2. Abierta","COL"
"782",782,"Mujer",33,"CALI",3645,"2. Abierta","COL"
"783",783,"Hombre",42,"CALI",3646,"3. Veteranos A","COL"
"784",784,"Hombre",34,"CALI",3647,"2. Abierta","COL"
"785",785,"Hombre",42,"CALI",3647,"3. Veteranos A","COL"
"786",786,"Hombre",32,"BOGOTA",3647,"2. Abierta","COL"
"787",787,"Hombre",37,"CALI",3648,"2. Abierta","COL"
"788",788,"Hombre",25,"CALI",3648,"2. Abierta","COL"
"789",789,"Hombre",43,"CALI",3648,"3. Veteranos A","COL"
"790",790,"Mujer",24,"CALI",3652,"2. Abierta","COL"
"791",791,"Hombre",46,"CALI",3653,"3. Veteranos A","COL"
"792",792,"Hombre",29,"CALI",3655,"2. Abierta","COL"
"793",793,"Mujer",40,"CALI",3655,"3. Veteranos A","COL"
"794",794,"Hombre",39,"CALI",3656,"2. Abierta","COL"
"795",795,"Hombre",46,"CALI",3659,"3. Veteranos A","COL"
"796",796,"Mujer",33,"CALI",3659,"2. Abierta","COL"
"797",797,"Mujer",37,"CALI",3659,"2. Abierta","COL"
"798",798,"Hombre",41,"PUERTO TEJADA",3661,"3. Veteranos A","COL"
"799",799,"Hombre",33,"CALI",3661,"2. Abierta","COL"
"800",800,"Mujer",33,"CALI",3662,"2. Abierta","COL"
"801",801,"Hombre",48,"CALI",3662,"3. Veteranos A","COL"
"802",802,"Hombre",41,"BOGOTA",3662,"3. Veteranos A","COL"
"803",803,"Mujer",28,"CALI",3662,"2. Abierta","COL"
"804",804,"Mujer",25,"CALI",3663,"2. Abierta","COL"
"805",805,"Hombre",43,"CALI",3663,"3. Veteranos A","COL"
"806",806,"Hombre",41,"CALI",3664,"3. Veteranos A","COL"
"807",807,"Mujer",16,"CALI",3666,"1. Juvenil","COL"
"808",808,"Hombre",34,"CALI",3667,"2. Abierta","COL"
"809",809,"Hombre",29,"CALI",3667,"2. Abierta","COL"
"810",810,"Hombre",31,"CALI",3667,"2. Abierta","COL"
"811",811,"Hombre",40,"CALI",3667,"3. Veteranos A","COL"
"812",812,"Hombre",46,"CALI",3668,"3. Veteranos A","COL"
"813",813,"Hombre",16,"CALI",3668,"1. Juvenil","COL"
"814",814,"Hombre",29,"CALI",3668,"2. Abierta","COL"
"815",815,"Hombre",36,"CALI",3669,"2. Abierta","COL"
"816",816,"Hombre",33,"CALI",3669,"2. Abierta","COL"
"817",817,"Hombre",45,"CALI",3670,"3. Veteranos A","COL"
"818",818,"Hombre",26,"CALI",3671,"2. Abierta","COL"
"819",819,"Hombre",26,"CALI",3672,"2. Abierta","COL"
"820",820,"Hombre",35,"CALI",3673,"2. Abierta","COL"
"821",821,"Hombre",49,"JAMUNDI",3674,"3. Veteranos A","COL"
"822",822,"Hombre",49,"CALI",3676,"3. Veteranos A","COL"
"823",823,"Mujer",35,"CALI",3677,"2. Abierta","COL"
